AirGap,AirGap(mm),B,B(mt),Force,Force(mt),Duty,Duty(%),CurrentSmallSig,CurrentSmallSig(),Current,Current(A)
651,10.222307692307693,582,82.05019999999999,-591,-590.0,6100,0.61,0,0,265,3.3982
652,10.214615384615385,586,82.67699999999999,-591,-590.0,5900,0.5900000000000001,-7,-7,267,3.4228
651,10.222307692307693,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,2,2,269,3.4474
651,10.222307692307693,583,82.20689999999999,-591,-590.0,5700,0.5700000000000001,-1,-1,265,3.3982
651,10.222307692307693,579,81.58010000000002,-591,-590.0,5900,0.5900000000000001,-5,-5,263,3.3736
650,10.23,576,81.11000000000001,-591,-590.0,6000,0.6,-6,-6,259,3.3244000000000002
651,10.222307692307693,579,81.58010000000002,-591,-590.0,6300,0.63,-6,-6,263,3.3736
651,10.222307692307693,583,82.20689999999999,-591,-590.0,6000,0.6,-2,-2,267,3.4228
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5800,0.5800000000000001,-2,-2,272,3.4843
651,10.222307692307693,583,82.20689999999999,-591,-590.0,5600,0.56,1,1,266,3.4105000000000003
651,10.222307692307693,581,81.89349999999999,-591,-590.0,5900,0.5900000000000001,-2,-2,263,3.3736
650,10.23,576,81.11000000000001,-591,-590.0,6000,0.6,-2,-2,262,3.3613
651,10.222307692307693,576,81.11000000000001,-591,-590.0,6200,0.62,-8,-8,260,3.3367
650,10.23,580,81.73680000000002,-591,-590.0,6100,0.61,-5,-5,264,3.3859
651,10.222307692307693,584,82.36359999999999,-591,-590.0,6100,0.61,-7,-7,267,3.4228
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5800,0.5800000000000001,3,3,269,3.4474
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5700,0.5700000000000001,0,0,266,3.4105000000000003
652,10.214615384615385,580,81.73680000000002,-591,-590.0,5800,0.5800000000000001,-4,-4,263,3.3736
651,10.222307692307693,575,80.95330000000001,-591,-590.0,5900,0.5900000000000001,3,3,260,3.3367
651,10.222307692307693,576,81.11000000000001,-591,-590.0,6200,0.62,-8,-8,256,3.2875
651,10.222307692307693,582,82.05019999999999,-591,-590.0,6400,0.64,-3,-3,265,3.3982
652,10.214615384615385,585,82.52029999999999,-591,-590.0,5900,0.5900000000000001,-6,-6,270,3.4597
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5500,0.55,2,2,265,3.3982
651,10.222307692307693,581,81.89349999999999,-591,-590.0,5900,0.5900000000000001,-1,-1,263,3.3736
651,10.222307692307693,577,81.26670000000001,-591,-590.0,6000,0.6,-4,-4,260,3.3367
651,10.222307692307693,575,80.95330000000001,-590,-589.0,6200,0.62,-4,-4,259,3.3244000000000002
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6200,0.62,-6,-6,261,3.349
652,10.214615384615385,583,82.20689999999999,-590,-589.0,6100,0.61,-2,-2,268,3.4351000000000003
652,10.214615384615385,584,82.36359999999999,-591,-590.0,5600,0.56,-6,-6,267,3.4228
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5700,0.5700000000000001,1,1,264,3.3859
651,10.222307692307693,580,81.73680000000002,-591,-590.0,6000,0.6,-1,-1,264,3.3859
651,10.222307692307693,576,81.11000000000001,-590,-589.0,6000,0.6,-4,-4,258,3.3121
651,10.222307692307693,575,80.95330000000001,-591,-590.0,6300,0.63,-8,-8,259,3.3244000000000002
650,10.23,579,81.58010000000002,-590,-589.0,6200,0.62,-5,-5,261,3.349
652,10.214615384615385,586,82.67699999999999,-590,-589.0,6300,0.63,-9,-9,269,3.4474
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5600,0.56,1,1,266,3.4105000000000003
651,10.222307692307693,583,82.20689999999999,-590,-589.0,5900,0.5900000000000001,0,0,264,3.3859
651,10.222307692307693,580,81.73680000000002,-590,-589.0,6000,0.6,-3,-3,263,3.3736
651,10.222307692307693,575,80.95330000000001,-591,-590.0,6000,0.6,-2,-2,257,3.2998000000000003
651,10.222307692307693,576,81.11000000000001,-590,-589.0,6300,0.63,-8,-8,260,3.3367
651,10.222307692307693,582,82.05019999999999,-591,-590.0,6200,0.62,-3,-3,267,3.4228
652,10.214615384615385,585,82.52029999999999,-590,-589.0,5800,0.5800000000000001,-7,-7,267,3.4228
652,10.214615384615385,584,82.36359999999999,-590,-589.0,5700,0.5700000000000001,2,2,266,3.4105000000000003
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5800,0.5800000000000001,-1,-1,264,3.3859
651,10.222307692307693,578,81.42340000000002,-590,-589.0,6000,0.6,-5,-5,258,3.3121
651,10.222307692307693,575,80.95330000000001,-590,-589.0,6300,0.63,-7,-7,256,3.2875
651,10.222307692307693,579,81.58010000000002,-590,-589.0,6400,0.64,-6,-6,261,3.349
651,10.222307692307693,584,82.36359999999999,-591,-590.0,6100,0.61,-3,-3,264,3.3859
651,10.222307692307693,586,82.67699999999999,-590,-589.0,6000,0.6,1,1,271,3.472
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5600,0.56,1,1,267,3.4228
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5800,0.5800000000000001,-3,-3,264,3.3859
650,10.23,577,81.26670000000001,-590,-589.0,6000,0.6,-4,-4,262,3.3613
651,10.222307692307693,577,81.26670000000001,-591,-590.0,6200,0.62,-9,-9,259,3.3244000000000002
651,10.222307692307693,581,81.89349999999999,-590,-589.0,6200,0.62,-5,-5,265,3.3982
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5900,0.5900000000000001,-6,-6,271,3.472
652,10.214615384615385,585,82.52029999999999,-590,-589.0,5600,0.56,2,2,267,3.4228
651,10.222307692307693,583,82.20689999999999,-590,-589.0,5700,0.5700000000000001,0,0,262,3.3613
651,10.222307692307693,580,81.73680000000002,-590,-589.0,6100,0.61,-4,-4,264,3.3859
651,10.222307692307693,575,80.95330000000001,-591,-590.0,6000,0.6,-4,-4,262,3.3613
651,10.222307692307693,577,81.26670000000001,-591,-590.0,6100,0.61,-9,-9,258,3.3121
651,10.222307692307693,583,82.20689999999999,-591,-590.0,6300,0.63,-2,-2,265,3.3982
652,10.214615384615385,585,82.52029999999999,-591,-590.0,5900,0.5900000000000001,-9,-9,266,3.4105000000000003
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5700,0.5700000000000001,2,2,265,3.3982
651,10.222307692307693,583,82.20689999999999,-591,-590.0,5900,0.5900000000000001,-1,-1,263,3.3736
651,10.222307692307693,579,81.58010000000002,-591,-590.0,6000,0.6,-5,-5,263,3.3736
650,10.23,574,80.79660000000001,-591,-590.0,6000,0.6,-6,-6,259,3.3244000000000002
650,10.23,579,81.58010000000002,-591,-590.0,6400,0.64,-6,-6,263,3.3736
652,10.214615384615385,584,82.36359999999999,-590,-589.0,6100,0.61,0,0,266,3.4105000000000003
652,10.214615384615385,585,82.52029999999999,-591,-590.0,5700,0.5700000000000001,-2,-2,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5600,0.56,2,2,268,3.4351000000000003
651,10.222307692307693,581,81.89349999999999,-591,-590.0,5800,0.5800000000000001,-3,-3,259,3.3244000000000002
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6200,0.62,-4,-4,261,3.349
651,10.222307692307693,576,81.11000000000001,-591,-590.0,6100,0.61,-10,-10,259,3.3244000000000002
651,10.222307692307693,581,81.89349999999999,-591,-590.0,6200,0.62,-4,-4,265,3.3982
651,10.222307692307693,586,82.67699999999999,-591,-590.0,5900,0.5900000000000001,-6,-6,267,3.4228
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5800,0.5800000000000001,3,3,265,3.3982
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5900,0.5900000000000001,-1,-1,265,3.3982
651,10.222307692307693,580,81.73680000000002,-591,-590.0,5900,0.5900000000000001,-4,-4,262,3.3613
651,10.222307692307693,576,81.11000000000001,-591,-590.0,6100,0.61,-3,-3,257,3.2998000000000003
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6300,0.63,-8,-8,262,3.3613
651,10.222307692307693,582,82.05019999999999,-591,-590.0,6100,0.61,0,0,268,3.4351000000000003
652,10.214615384615385,585,82.52029999999999,-591,-590.0,5800,0.5800000000000001,-10,-10,271,3.472
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5500,0.55,2,2,268,3.4351000000000003
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5800,0.5800000000000001,-2,-2,266,3.4105000000000003
651,10.222307692307693,578,81.42340000000002,-591,-590.0,5900,0.5900000000000001,-5,-5,260,3.3367
651,10.222307692307693,575,80.95330000000001,-591,-590.0,6200,0.62,-6,-6,259,3.3244000000000002
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6200,0.62,-7,-7,258,3.3121
651,10.222307692307693,584,82.36359999999999,-592,-591.0,6300,0.63,-5,-5,266,3.4105000000000003
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5900,0.5900000000000001,0,0,267,3.4228
651,10.222307692307693,583,82.20689999999999,-592,-591.0,5800,0.5800000000000001,1,1,269,3.4474
651,10.222307692307693,581,81.89349999999999,-591,-590.0,5700,0.5700000000000001,-3,-3,263,3.3736
651,10.222307692307693,575,80.95330000000001,-592,-591.0,6000,0.6,-4,-4,259,3.3244000000000002
650,10.23,576,81.11000000000001,-591,-590.0,6200,0.62,-10,-10,257,3.2998000000000003
651,10.222307692307693,581,81.89349999999999,-591,-590.0,6400,0.64,-1,-1,262,3.3613
652,10.214615384615385,584,82.36359999999999,-592,-591.0,6100,0.61,-7,-7,270,3.4597
652,10.214615384615385,585,82.52029999999999,-592,-591.0,5500,0.55,1,1,270,3.4597
651,10.222307692307693,583,82.20689999999999,-592,-591.0,5500,0.55,-1,-1,267,3.4228
651,10.222307692307693,579,81.58010000000002,-591,-590.0,5800,0.5800000000000001,-4,-4,262,3.3613
650,10.23,575,80.95330000000001,-591,-590.0,6100,0.61,-2,-2,257,3.2998000000000003
650,10.23,577,81.26670000000001,-591,-590.0,6500,0.65,-8,-8,264,3.3859
650,10.23,581,81.89349999999999,-592,-591.0,6100,0.61,-2,-2,263,3.3736
652,10.214615384615385,585,82.52029999999999,-592,-591.0,6100,0.61,-3,-3,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-592,-591.0,5600,0.56,2,2,266,3.4105000000000003
651,10.222307692307693,582,82.05019999999999,-592,-591.0,5900,0.5900000000000001,-2,-2,265,3.3982
651,10.222307692307693,579,81.58010000000002,-592,-591.0,5900,0.5900000000000001,-5,-5,260,3.3367
650,10.23,576,81.11000000000001,-592,-591.0,6200,0.62,-7,-7,260,3.3367
651,10.222307692307693,579,81.58010000000002,-592,-591.0,6300,0.63,-6,-6,261,3.349
652,10.214615384615385,584,82.36359999999999,-592,-591.0,6100,0.61,3,3,268,3.4351000000000003
652,10.214615384615385,586,82.67699999999999,-591,-590.0,5600,0.56,-3,-3,269,3.4474
651,10.222307692307693,584,82.36359999999999,-592,-591.0,5600,0.56,1,1,266,3.4105000000000003
651,10.222307692307693,581,81.89349999999999,-592,-591.0,5900,0.5900000000000001,-3,-3,263,3.3736
650,10.23,577,81.26670000000001,-591,-590.0,6000,0.6,-3,-3,262,3.3613
651,10.222307692307693,576,81.11000000000001,-591,-590.0,6200,0.62,-10,-10,260,3.3367
651,10.222307692307693,581,81.89349999999999,-592,-591.0,6200,0.62,-5,-5,261,3.349
651,10.222307692307693,585,82.52029999999999,-591,-590.0,6100,0.61,-9,-9,265,3.3982
651,10.222307692307693,584,82.36359999999999,-592,-591.0,5900,0.5900000000000001,4,4,266,3.4105000000000003
651,10.222307692307693,583,82.20689999999999,-592,-591.0,5900,0.5900000000000001,0,0,264,3.3859
651,10.222307692307693,580,81.73680000000002,-592,-591.0,6000,0.6,-4,-4,261,3.349
651,10.222307692307693,577,81.26670000000001,-592,-591.0,6100,0.61,-2,-2,257,3.2998000000000003
651,10.222307692307693,578,81.42340000000002,-592,-591.0,6300,0.63,-8,-8,260,3.3367
651,10.222307692307693,583,82.20689999999999,-591,-590.0,6200,0.62,-3,-3,266,3.4105000000000003
652,10.214615384615385,586,82.67699999999999,-591,-590.0,5900,0.5900000000000001,1,1,270,3.4597
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5500,0.55,2,2,265,3.3982
651,10.222307692307693,583,82.20689999999999,-591,-590.0,5900,0.5900000000000001,-2,-2,264,3.3859
651,10.222307692307693,579,81.58010000000002,-592,-591.0,6000,0.6,-3,-3,261,3.349
650,10.23,576,81.11000000000001,-591,-590.0,6100,0.61,-7,-7,259,3.3244000000000002
650,10.23,580,81.73680000000002,-591,-590.0,6300,0.63,-6,-6,262,3.3613
652,10.214615384615385,586,82.67699999999999,-591,-590.0,6200,0.62,-4,-4,268,3.4351000000000003
652,10.214615384615385,587,82.8337,-591,-590.0,5600,0.56,0,0,268,3.4351000000000003
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5600,0.56,0,0,264,3.3859
651,10.222307692307693,582,82.05019999999999,-591,-590.0,6000,0.6,-2,-2,264,3.3859
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6000,0.6,-4,-4,261,3.349
651,10.222307692307693,577,81.26670000000001,-591,-590.0,6100,0.61,-10,-10,259,3.3244000000000002
651,10.222307692307693,581,81.89349999999999,-591,-590.0,6200,0.62,-6,-6,263,3.3736
651,10.222307692307693,585,82.52029999999999,-591,-590.0,6000,0.6,-7,-7,270,3.4597
651,10.222307692307693,586,82.67699999999999,-591,-590.0,5700,0.5700000000000001,3,3,270,3.4597
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5700,0.5700000000000001,0,0,264,3.3859
650,10.23,581,81.89349999999999,-591,-590.0,6000,0.6,-4,-4,262,3.3613
651,10.222307692307693,577,81.26670000000001,-591,-590.0,6200,0.62,-3,-3,260,3.3367
651,10.222307692307693,578,81.42340000000002,-591,-590.0,6200,0.62,-7,-7,266,3.4105000000000003
650,10.23,581,81.89349999999999,-590,-589.0,5900,0.5900000000000001,-3,-3,266,3.4105000000000003
652,10.214615384615385,585,82.52029999999999,-591,-590.0,6000,0.6,-3,-3,269,3.4474
651,10.222307692307693,585,82.52029999999999,-591,-590.0,5600,0.56,3,3,269,3.4474
651,10.222307692307693,583,82.20689999999999,-591,-590.0,5700,0.5700000000000001,-3,-3,264,3.3859
651,10.222307692307693,579,81.58010000000002,-590,-589.0,6000,0.6,-4,-4,264,3.3859
650,10.23,575,80.95330000000001,-590,-589.0,6000,0.6,-8,-8,257,3.2998000000000003
651,10.222307692307693,580,81.73680000000002,-590,-589.0,6400,0.64,-6,-6,263,3.3736
651,10.222307692307693,584,82.36359999999999,-590,-589.0,6000,0.6,0,0,266,3.4105000000000003
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5900,0.5900000000000001,2,2,270,3.4597
651,10.222307692307693,583,82.20689999999999,-590,-589.0,5700,0.5700000000000001,1,1,265,3.3982
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5900,0.5900000000000001,-3,-3,263,3.3736
650,10.23,577,81.26670000000001,-591,-590.0,6000,0.6,-2,-2,261,3.349
650,10.23,577,81.26670000000001,-590,-589.0,6200,0.62,-8,-8,262,3.3613
651,10.222307692307693,581,81.89349999999999,-590,-589.0,6200,0.62,-3,-3,264,3.3859
652,10.214615384615385,585,82.52029999999999,-590,-589.0,5900,0.5900000000000001,-8,-8,270,3.4597
652,10.214615384615385,586,82.67699999999999,-590,-589.0,5500,0.55,3,3,267,3.4228
651,10.222307692307693,583,82.20689999999999,-590,-589.0,5700,0.5700000000000001,0,0,265,3.3982
651,10.222307692307693,579,81.58010000000002,-590,-589.0,5900,0.5900000000000001,-4,-4,260,3.3367
651,10.222307692307693,575,80.95330000000001,-590,-589.0,6200,0.62,-2,-2,262,3.3613
651,10.222307692307693,577,81.26670000000001,-590,-589.0,6100,0.61,-8,-8,260,3.3367
651,10.222307692307693,582,82.05019999999999,-590,-589.0,6200,0.62,-1,-1,265,3.3982
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5900,0.5900000000000001,-8,-8,269,3.4474
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5700,0.5700000000000001,2,2,270,3.4597
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5700,0.5700000000000001,-2,-2,262,3.3613
650,10.23,578,81.42340000000002,-590,-589.0,6100,0.61,-5,-5,260,3.3367
651,10.222307692307693,575,80.95330000000001,-590,-589.0,6300,0.63,-8,-8,261,3.349
650,10.23,578,81.42340000000002,-591,-590.0,6100,0.61,-6,-6,264,3.3859
651,10.222307692307693,583,82.20689999999999,-590,-589.0,6100,0.61,-4,-4,264,3.3859
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5900,0.5900000000000001,1,1,267,3.4228
651,10.222307692307693,583,82.20689999999999,-590,-589.0,5800,0.5800000000000001,1,1,267,3.4228
651,10.222307692307693,581,81.89349999999999,-590,-589.0,5800,0.5800000000000001,-3,-3,264,3.3859
651,10.222307692307693,576,81.11000000000001,-590,-589.0,6000,0.6,-4,-4,262,3.3613
651,10.222307692307693,576,81.11000000000001,-590,-589.0,6100,0.61,-10,-10,261,3.349
651,10.222307692307693,580,81.73680000000002,-590,-589.0,6100,0.61,-5,-5,263,3.3736
651,10.222307692307693,585,82.52029999999999,-590,-589.0,6000,0.6,-5,-5,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5800,0.5800000000000001,4,4,266,3.4105000000000003
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5900,0.5900000000000001,0,0,264,3.3859
651,10.222307692307693,579,81.58010000000002,-590,-589.0,6000,0.6,-4,-4,263,3.3736
650,10.23,574,80.79660000000001,-590,-589.0,6000,0.6,-4,-4,256,3.2875
651,10.222307692307693,578,81.42340000000002,-590,-589.0,6500,0.65,-7,-7,261,3.349
651,10.222307692307693,582,82.05019999999999,-590,-589.0,6100,0.61,1,1,265,3.3982
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5900,0.5900000000000001,-7,-7,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5800,0.5800000000000001,2,2,264,3.3859
651,10.222307692307693,582,82.05019999999999,-590,-589.0,6000,0.6,-1,-1,263,3.3736
650,10.23,578,81.42340000000002,-590,-589.0,6000,0.6,-5,-5,262,3.3613
650,10.23,575,80.95330000000001,-590,-589.0,6200,0.62,-7,-7,255,3.2752
650,10.23,580,81.73680000000002,-590,-589.0,6500,0.65,-5,-5,264,3.3859
651,10.222307692307693,584,82.36359999999999,-590,-589.0,6100,0.61,2,2,268,3.4351000000000003
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5700,0.5700000000000001,-1,-1,271,3.472
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5600,0.56,1,1,265,3.3982
651,10.222307692307693,582,82.05019999999999,-590,-589.0,5900,0.5900000000000001,-2,-2,261,3.349
650,10.23,578,81.42340000000002,-590,-589.0,6100,0.61,-3,-3,259,3.3244000000000002
650,10.23,577,81.26670000000001,-590,-589.0,6300,0.63,-9,-9,260,3.3367
651,10.222307692307693,582,82.05019999999999,-590,-589.0,6300,0.63,0,0,264,3.3859
651,10.222307692307693,585,82.52029999999999,-590,-589.0,5900,0.5900000000000001,-6,-6,265,3.3982
651,10.222307692307693,586,82.67699999999999,-590,-589.0,5900,0.5900000000000001,3,3,266,3.4105000000000003
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5800,0.5800000000000001,0,0,264,3.3859
651,10.222307692307693,581,81.89349999999999,-590,-589.0,5900,0.5900000000000001,-3,-3,261,3.349
650,10.23,576,81.11000000000001,-590,-589.0,6100,0.61,-2,-2,259,3.3244000000000002
650,10.23,579,81.58010000000002,-590,-589.0,6300,0.63,-7,-7,259,3.3244000000000002
650,10.23,583,82.20689999999999,-590,-589.0,6300,0.63,0,0,268,3.4351000000000003
652,10.214615384615385,587,82.8337,-591,-590.0,5900,0.5900000000000001,-5,-5,267,3.4228
651,10.222307692307693,586,82.67699999999999,-590,-589.0,5600,0.56,3,3,267,3.4228
651,10.222307692307693,584,82.36359999999999,-590,-589.0,5800,0.5800000000000001,-1,-1,266,3.4105000000000003
650,10.23,579,81.58010000000002,-591,-590.0,5800,0.5800000000000001,-5,-5,261,3.349
650,10.23,577,81.26670000000001,-591,-590.0,6200,0.62,-7,-7,259,3.3244000000000002
650,10.23,580,81.73680000000002,-590,-589.0,6300,0.63,-5,-5,260,3.3367
652,10.214615384615385,586,82.67699999999999,-591,-590.0,6300,0.63,2,2,270,3.4597
651,10.222307692307693,587,82.8337,-591,-590.0,5500,0.55,-4,-4,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5700,0.5700000000000001,1,1,268,3.4351000000000003
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5700,0.5700000000000001,-3,-3,263,3.3736
650,10.23,577,81.26670000000001,-591,-590.0,6000,0.6,-2,-2,261,3.349
650,10.23,577,81.26670000000001,-591,-590.0,6200,0.62,-8,-8,264,3.3859
650,10.23,581,81.89349999999999,-591,-590.0,6100,0.61,-3,-3,265,3.3982
651,10.222307692307693,585,82.52029999999999,-591,-590.0,6000,0.6,-8,-8,267,3.4228
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5800,0.5800000000000001,4,4,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5700,0.5700000000000001,0,0,265,3.3982
651,10.222307692307693,580,81.73680000000002,-591,-590.0,5900,0.5900000000000001,-4,-4,264,3.3859
650,10.23,575,80.95330000000001,-591,-590.0,5900,0.5900000000000001,-2,-2,259,3.3244000000000002
650,10.23,578,81.42340000000002,-591,-590.0,6300,0.63,-6,-6,262,3.3613
651,10.222307692307693,583,82.20689999999999,-591,-590.0,6200,0.62,4,4,268,3.4351000000000003
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5700,0.5700000000000001,-10,-10,271,3.472
651,10.222307692307693,584,82.36359999999999,-591,-590.0,5600,0.56,3,3,267,3.4228
651,10.222307692307693,582,82.05019999999999,-591,-590.0,5800,0.5800000000000001,0,0,264,3.3859
651,10.222307692307693,578,81.42340000000002,-592,-591.0,5900,0.5900000000000001,-4,-4,263,3.3736
650,10.23,574,80.79660000000001,-592,-591.0,6000,0.6,-9,-9,256,3.2875
650,10.23,580,81.73680000000002,-592,-591.0,6500,0.65,-5,-5,263,3.3736
651,10.222307692307693,583,82.20689999999999,-592,-591.0,6100,0.61,-2,-2,267,3.4228
651,10.222307692307693,585,82.52029999999999,-592,-591.0,5800,0.5800000000000001,2,2,271,3.472
651,10.222307692307693,583,82.20689999999999,-592,-591.0,5600,0.56,1,1,266,3.4105000000000003
651,10.222307692307693,580,81.73680000000002,-592,-591.0,5800,0.5800000000000001,-3,-3,261,3.349
